optimizer,test_loss_mean,test_loss_std,wall_hours_mean,wall_hours_std,cost_usd_mean,throughput_median_tokens_s,optimizer_ms_median,optimizer_ms_p95,peak_vram_gib_mean,power_w_mean,energy_kwh_mean,gpu_busy_percent_mean,junction_temp_c_max
adamw,4.051450332005818,0.06705642881980677,0.7977261542611652,0.0003625284085798946,1.8613867699658428,351515.11121834867,1.5916970005491748,1.7504027500763186,38.67397594451904,746.3964016250726,0.5949549691133588,99.43586767266396,68.0
shampoo,5.119985262552897,0.019148902808450847,0.809212995480608,0.00037833629868478275,1.7533157952626546,350012.9348365238,15.682282002671855,121.24097924970556,39.08155918121338,742.4436821040595,0.6007254968105312,99.15094339622641,68.0
soap,3.4697373708089194,0.003412948305358292,0.8532287619511286,0.0005725159671325497,1.9738212558958266,349555.391718184,15.15822649707843,933.4236832437455,38.96326684951782,716.927292457949,0.6112897903916018,99.05697232772653,67.0
rfs,5.112315495808919,0.00808144956837774,0.8159834712302244,0.000382384973023109,1.903974049742575,350071.9787809154,15.685793001466664,259.5468119980069,39.08155918121338,743.1781055019852,0.606154876693465,99.07714123652865,68.0
